#SERIES FILE INPUT IS AS FOLLOWING :
#ID,Name,EpisodeNum,SeasonNum,Runtime
AAS01E1,Aimless Agents,1,1,45
AAS01E2,Aimless Agents,2,1,45
AAS01E3,Aimless Agents,3,1,45
AAS01E4,Aimless Agents,4,1,45
AAS01E5,Aimless Agents,5,1,45
AAS01E6,Aimless Agents,6,1,45
AAS01E7,Aimless Agents,7,1,45
AAS01E8,Aimless Agents,8,1,45
AAS01E9,Aimless Agents,9,1,45
AAS01E10,Aimless Agents,10,1,45
AAS01E11,Aimless Agents,11,1,45
AAS01E12,Aimless Agents,12,1,45
AAS01E13,Aimless Agents,13,1,45
AAS01E14,Aimless Agents,14,1,45
AAS02E1,Aimless Agents,1,2,45
AAS02E2,Aimless Agents,2,2,45
AAS02E3,Aimless Agents,3,2,45
AAS02E4,Aimless Agents,4,2,45
AAS02E5,Aimless Agents,5,2,45
AAS02E6,Aimless Agents,6,2,45
AAS02E7,Aimless Agents,7,2,45
AAS02E8,Aimless Agents,8,2,45
AAS02E9,Aimless Agents,9,2,45
AAS02E10,Aimless Agents,10,2,45
AAS02E11,Aimless Agents,11,2,45
AAS02E12,Aimless Agents,12,2,45
AAS02E13,Aimless Agents,13,2,45
AAS02E14,Aimless Agents,14,2,45
VSS03E1,Vests,1,3,17
VSS03E2,Vests,2,3,17
VSS03E3,Vests,3,3,17
VSS03E4,Vests,4,3,17
VSS03E5,Vests,5,3,17
VSS03E6,Vests,6,3,17
VSS03E7,Vests,7,3,17
VSS03E8,Vests,8,3,17
VSS03E9,Vests,9,3,17
VSS03E10,Vests,10,3,17
VSS03E11,Vests,11,3,17
VSS03E12,Vests,12,3,17
VSS03E13,Vests,13,3,17
VSS03E14,Vests,14,3,17
VSS03E15,Vests,15,3,17
BCS01E1,Battle Cows,1,1,15
BCS01E2,Battle Cows,2,1,15
BCS01E3,Battle Cows,3,1,15
BCS01E4,Battle Cows,4,1,15
BCS01E5,Battle Cows,5,1,15
BCS01E6,Battle Cows,6,1,15
BCS01E7,Battle Cows,7,1,15
BCS01E8,Battle Cows,8,1,15
BCS01E9,Battle Cows,9,1,15
BCS01E10,Battle Cows,10,1,15
BCS01E11,Battle Cows,11,1,15
BCS01E12,Battle Cows,12,1,15
BCS01E13,Battle Cows,13,1,15
BCS01E14,Battle Cows,14,1,15
BCS01E15,Battle Cows,15,1,15
BCS01E16,Battle Cows,16,1,15
BCS01E17,Battle Cows,17,1,15
BCS01E18,Battle Cows,18,1,15
BCS01E19,Battle Cows,19,1,15
BCS01E20,Battle Cows,20,1,15
BCS01E21,Battle Cows,21,1,15
BCS01E22,Battle Cows,22,1,15
BCS01E23,Battle Cows,23,1,15
BCS01E24,Battle Cows,24,1,15
BCS01E25,Battle Cows,25,1,15
BCS01E26,Battle Cows,26,1,15
BCS01E27,Battle Cows,27,1,15
BCS01E28,Battle Cows,28,1,15
BCS01E29,Battle Cows,29,1,15
BCS01E30,Battle Cows,30,1,15
BCS01E31,Battle Cows,31,1,15
BCS01E32,Battle Cows,32,1,15
BCS01E33,Battle Cows,33,1,15
BCS01E34,Battle Cows,34,1,15
BCS01E35,Battle Cows,35,1,15
BCS01E36,Battle Cows,36,1,15
BCS01E37,Battle Cows,37,1,15
BCS01E38,Battle Cows,38,1,15
BCS01E39,Battle Cows,39,1,15
BCS01E40,Battle Cows,40,1,15
BCS01E41,Battle Cows,41,1,15
BCS01E42,Battle Cows,42,1,15
BCS01E43,Battle Cows,43,1,15
BCS01E44,Battle Cows,44,1,15
BCS01E45,Battle Cows,45,1,15
BCS01E46,Battle Cows,46,1,15
BCS01E47,Battle Cows,47,1,15
BCS01E48,Battle Cows,48,1,15
